id,entity_type,entity_id,source_name,source_record_id,field,observed_value,observed_language,observed_at,raw_hash,notes
obs_000020,actress,actress_000006,metatube-bulk,,primary_name,妃月るい,ja,2026-09-04T08:56:34.639Z,,
obs_000021,actress,actress_000006,metatube-bulk,,name_ja,妃月るい,ja,2026-09-04T08:56:34.639Z,,
obs_000022,actress,actress_000006,metatube-bulk,,status,unknown,,2026-09-04T08:56:34.639Z,,
obs_000023,actress,actress_000007,metatube-bulk,,primary_name,桐谷まつり,ja,2026-09-04T08:56:34.639Z,,
obs_000024,actress,actress_000007,metatube-bulk,,name_ja,桐谷まつり,ja,2026-09-04T08:56:34.639Z,,
obs_000025,actress,actress_000007,metatube-bulk,,status,unknown,,2026-09-04T08:56:34.639Z,,
obs_000026,maker,maker_000003,metatube-bulk,,name,エスワン ナンバーワンスタイル,ja,2026-09-04T08:56:34.639Z,,
obs_000027,maker,maker_000003,metatube-bulk,,name_ja,エスワン ナンバーワンスタイル,ja,2026-09-04T08:56:34.639Z,,
obs_000028,label,label_000003,metatube-bulk,,name,S1 NO.1 STYLE,en,2026-09-04T08:56:34.639Z,,
obs_000029,genre,genre_000008,metatube-bulk,,name,3P・4P,ja,2026-09-04T08:56:34.639Z,,
obs_000030,genre,genre_000008,metatube-bulk,,name_ja,3P・4P,ja,2026-09-04T08:56:34.639Z,,
obs_000031,genre,genre_000009,metatube-bulk,,name,美乳,ja,2026-09-04T08:56:34.639Z,,
obs_000032,genre,genre_000009,metatube-bulk,,name_ja,美乳,ja,2026-09-04T08:56:34.639Z,,
obs_000033,genre,genre_000010,metatube-bulk,,name,ギリモザ,ja,2026-09-04T08:56:34.639Z,,
obs_000034,genre,genre_000010,metatube-bulk,,name_ja,ギリモザ,ja,2026-09-04T08:56:34.639Z,,
obs_000035,genre,genre_000011,metatube-bulk,,name,ハイビジョン,ja,2026-09-04T08:56:34.639Z,,
obs_000036,genre,genre_000011,metatube-bulk,,name_ja,ハイビジョン,ja,2026-09-04T08:56:34.639Z,,
obs_000037,genre,genre_000012,metatube-bulk,,name,寝取り・寝取られ,ja,2026-09-04T08:56:34.639Z,,
obs_000038,genre,genre_000012,metatube-bulk,,name_ja,寝取り・寝取られ,ja,2026-09-04T08:56:34.639Z,,
obs_000039,genre,genre_000013,metatube-bulk,,name,ドラマ,ja,2026-09-04T08:56:34.639Z,,
obs_000040,genre,genre_000013,metatube-bulk,,name_ja,ドラマ,ja,2026-09-04T08:56:34.639Z,,
obs_000041,genre,genre_000014,metatube-bulk,,name,独占配信,ja,2026-09-04T08:56:34.639Z,,
obs_000042,genre,genre_000014,metatube-bulk,,name_ja,独占配信,ja,2026-09-04T08:56:34.639Z,,
obs_000043,director,director_000002,metatube-bulk,,name,苺原,ja,2026-09-04T08:56:34.639Z,,
obs_000044,director,director_000002,metatube-bulk,,name_ja,苺原,ja,2026-09-04T08:56:34.639Z,,
obs_000045,work,work_000003,metatube-bulk,JavBus:SSIS-001,title,一ヶ月間の禁欲の果てに彼女のルームメイト2人と浮気SEXだけに没頭した彼女不在の3日間。 葵つかさ 乙白さやか,,2026-09-04T08:56:34.639Z,,
obs_000046,work,work_000003,metatube-bulk,JavBus:SSIS-001,title_ja,一ヶ月間の禁欲の果てに彼女のルームメイト2人と浮気SEXだけに没頭した彼女不在の3日間。 葵つかさ 乙白さやか,ja,2026-09-04T08:56:34.639Z,,
obs_000047,work,work_000003,metatube-bulk,JavBus:SSIS-001,release_date,2021-02-18,,2026-09-04T08:56:34.639Z,,
obs_000048,work,work_000003,metatube-bulk,JavBus:SSIS-001,duration_min,150,,2026-09-04T08:56:34.639Z,,
obs_000049,work,work_000003,metatube-bulk,JavBus:SSIS-001,cover_url,https://www.javbus.com/pics/cover/83ie_b.jpg,,2026-09-04T08:56:34.639Z,,
obs_000050,work,work_000003,metatube-bulk,JavBus:SSIS-001,thumb_url,https://www.javbus.com/pics/thumb/83ie.jpg,,2026-09-04T08:56:34.639Z,,
obs_000051,work,work_000003,metatube-bulk,JavBus:SSIS-001,score,0,,2026-09-04T08:56:34.639Z,,
obs_000052,maker,maker_000004,metatube-bulk,,name,ムーディーズ,ja,2026-09-04T08:56:34.639Z,,
obs_000053,maker,maker_000004,metatube-bulk,,name_ja,ムーディーズ,ja,2026-09-04T08:56:34.639Z,,
obs_000054,label,label_000004,metatube-bulk,,name,MOODYZDIVA,en,2026-09-04T08:56:34.639Z,,
obs_000055,genre,genre_000015,metatube-bulk,,name,淫語,ja,2026-09-04T08:56:34.639Z,,
obs_000056,genre,genre_000015,metatube-bulk,,name_ja,淫語,ja,2026-09-04T08:56:34.639Z,,
obs_000057,genre,genre_000016,metatube-bulk,,name,デジモ,ja,2026-09-04T08:56:34.639Z,,
obs_000058,genre,genre_000016,metatube-bulk,,name_ja,デジモ,ja,2026-09-04T08:56:34.639Z,,
obs_000059,genre,genre_000017,metatube-bulk,,name,主観,ja,2026-09-04T08:56:34.639Z,,
obs_000060,genre,genre_000017,metatube-bulk,,name_ja,主観,ja,2026-09-04T08:56:34.639Z,,
obs_000061,genre,genre_000018,metatube-bulk,,name,顔面騎乗,ja,2026-09-04T08:56:34.639Z,,
obs_000062,genre,genre_000018,metatube-bulk,,name_ja,顔面騎乗,ja,2026-09-04T08:56:34.639Z,,
obs_000063,genre,genre_000019,metatube-bulk,,name,巨乳,ja,2026-09-04T08:56:34.639Z,,
obs_000064,genre,genre_000019,metatube-bulk,,name_ja,巨乳,ja,2026-09-04T08:56:34.639Z,,
obs_000065,genre,genre_000020,metatube-bulk,,name,単体作品,ja,2026-09-04T08:56:34.639Z,,
obs_000066,genre,genre_000020,metatube-bulk,,name_ja,単体作品,ja,2026-09-04T08:56:34.639Z,,
obs_000067,director,director_000003,metatube-bulk,,name,南★波王,ja,2026-09-04T08:56:34.639Z,,
obs_000068,director,director_000003,metatube-bulk,,name_ja,南★波王,ja,2026-09-04T08:56:34.639Z,,
obs_000069,work,work_000004,metatube-bulk,JavBus:MIDE-345,title,JULIA 騎乗位SPECIAL,,2026-09-04T08:56:34.639Z,,
obs_000070,work,work_000004,metatube-bulk,JavBus:MIDE-345,title_ja,JULIA 騎乗位SPECIAL,ja,2026-09-04T08:56:34.639Z,,
